City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases
Aligarh,Uttar Pradesh,C-1T,"8,89,810","6,72,315",881,24,36,HIGH,144,123,0.534603992,783923,80,3104060,6031
Tiruppur,Tamil Nadu,C-1T,"8,77,778","3,44,543",913,28,,HIGH,113,,,,86,4684707,4066
Gurgaon,Haryana,C-1T,"8,76,824","1,73,542",823,29,,LOW,149,,,,63,303118,9537
Moradabad,Uttar Pradesh,C-1T,"8,72,575","6,69,087",883,28,,HIGH,132,,,,55,3104060,6480
Jalandhar,Punjab,C-1T,"8,62,196","7,06,043",884,25,,MEDIUM,146,,,,87,242367,8783
Bhubaneswar,Odisha,C-1T,"8,37,737","6,48,032",946,28,,MEDIUM,148,,,,74,66971,10586
Salem,Tamil Nadu,C-1T,"8,31,038","6,96,760",906,23,27,HIGH,128,,,,61,4684707,13590
Warangal,Telangana,C-1T,"8,30,281","5,30,636",929,24,39,LOW,147,,,,74,126078,8911
Mira-Bhayandar,Maharashtra,C-1T,"8,14,655","5,20,388",880,24,26,LOW,116,,,,70,4408916,8440
Jalgaon,Maharashtra,C-1T,"7,98,514","4,62,280",882,27,33,LOW,147,,,,54,4408916,34227
Kota,Rajasthan,C-1T,"7,43,556","5,94,316",853,29,25,MEDIUM,132,,,,56,1475311,7067
Guntur,Andhra Pradesh,C-1T,"7,43,354","5,14,461",915,28,34,MEDIUM,108,,,,56,237854,10239
Bhiwandi,Maharashtra,C-1T,"7,11,329","5,98,741",869,29,40,MEDIUM,112,,,,63,4408916,10071
Saharanpur,Uttar Pradesh,C-1T,"7,03,345","4,55,754",890,24,39,LOW,120,,,,82,3104060,5514
Gorakhpur,Uttar Pradesh,C-1T,"6,71,048","6,22,701",880,26,31,HIGH,150,,,,63,3104060,12294
Bikaner,Rajasthan,C-1T,"6,47,804","5,29,690",877,24,26,HIGH,123,161,0.25755712,568124,51,1475311,5054
Amravati,Maharashtra,C-1T,"6,46,801","5,49,510",878,25,34,LOW,102,176,0.870680955,567891,78,4408916,7172
Noida,Uttar Pradesh,C-1T,"6,42,381","3,05,058",885,25,25,LOW,114,108,0.615857463,568507,77,3104060,8842
Jamshedpur,Jharkhand,C-1T,"6,31,364","5,73,096",900,27,29,HIGH,140,132,0.359799725,568228,63,167785,9711
Bhilai,Chhattisgarh,C-1T,"6,25,697","5,56,366",957,24,32,HIGH,125,198,0.003074344,598792,78,6394,9179
Cuttack,Odisha,C-1T,"6,06,007","5,34,654",954,23,38,MEDIUM,133,149,0.02441449,578131,85,66971,12265
Firozabad,Uttar Pradesh,C-1T,"6,03,797","2,79,102",865,28,33,MEDIUM,135,158,0.575803058,522284,59,3104060,1996
Kochi,Kerala,C-1T,"6,01,574","5,96,473",971,29,31,LOW,140,177,0.401893501,584128,50,977479,11254
Nellore,Andhra Pradesh,C-1T,"6,00,869","3,78,428",906,25,33,MEDIUM,133,107,0.272163828,544387,53,237854,9052
Bhavnagar,Gujarat,C-1T,"5,93,768","5,11,085",846,24,28,LOW,117,166,0.679264465,502328,81,284973,3317
Dehradun,Uttarakhand,C-1T,"5,78,420","4,26,674",835,25,6,LOW,111,184,0.264985086,482981,91,105882,6391
Durgapur,West Bengal,C-1T,"5,66,937","4,93,405",958,25,26,MEDIUM,130,150,0.480555467,543126,54,1489500,9572
Asansol,West Bengal,C-1T,"5,64,491","4,75,439",955,28,26,LOW,133,125,0.882182598,539089,71,1489500,10687
Rourkela,Odisha,C-1T,"5,52,734","4,26,354",953,29,27,LOW,109,181,0.456825432,526756,77,66971,11045
Nanded,Maharashtra,C-1T,"5,50,564","4,30,733",877,28,25,HIGH,102,114,0.088904518,482845,66,4408916,10652
Kolhapur,Maharashtra,C-1T,"5,49,283","4,93,167",891,25,26,HIGH,142,191,0.806195868,489411,84,4408916,30609
Ajmer,Rajasthan,C-1T,"5,42,580","4,85,575",860,26,28,LOW,123,189,0.099481627,466619,75,1475311,4967
Akola,Maharashtra,C-1T,"5,37,149","4,00,520",879,24,29,HIGH,105,107,0.097128659,472154,77,4408916,4937
Gulbarga,Karnataka,C-1T,"5,32,031","4,22,569",922,24,31,LOW,105,133,0.040144093,490533,68,636502,8843
Jamnagar,Gujarat,C-1T,"5,29,308","4,43,518",853,27,28,HIGH,131,115,0.029569736,451500,74,284973,3807
Ujjain,Madhya Pradesh,C-1T,"5,15,215","4,30,427",925,29,38,MEDIUM,149,162,0.011545983,476574,61,421365,2095
Loni,Uttar Pradesh,C-1T,"5,12,296","1,20,945",861,28,31,LOW,107,169,0.069470976,441087,54,3104060,9634
Siliguri,West Bengal,C-1T,"5,09,709","4,72,374",957,24,25,HIGH,106,102,0.294327972,487792,74,1489500,9179
Jhansi,Uttar Pradesh,C-1T,"5,07,293","3,83,644",869,27,30,MEDIUM,129,112,0.642546032,440838,80,3104060,5440
Ulhasnagar,Maharashtra,C-1T,"5,06,937","4,73,731",880,28,39,LOW,123,124,0.812126419,446105,74,4408916,9846
Jammu,Jammu and Kashmir,C-1T,"5,03,690","3,69,959",908,24,10,HIGH,145,169,0.077831283,457351,53,58568,7697
Sangli-Miraj & Kupwad,Maharashtra,C-1T,"5,02,697","4,36,781",869,29,30,HIGH,146,130,0.76211233,436844,84,4408916,10070
Mangalore,Karnataka,C-1T,"4,99,486","3,99,565",931,28,28,HIGH,120,102,0.018752724,465021,52,636502,10418
Erode,Tamil Nadu,C-1T,"4,98,129","1,73,600",915,23,27,MEDIUM,140,138,0.562357893,455788,67,4684707,4205
Belgaum,Karnataka,C-1T,"4,88,292","3,99,653",952,23,29,HIGH,147,172,0.366751369,464854,100,636502,8751
Ambattur,Tamil Nadu,C-1T,"4,78,134","3,10,967",916,24,37,LOW,111,185,0.920626654,437971,78,4684707,8786
Tirunelveli,Tamil Nadu,C-1T,"4,73,637","4,11,831",907,29,32,HIGH,110,125,0.871137461,429589,93,4684707,10774
Malegaon,Maharashtra,C-1T,"4,71,006","4,09,403",871,27,26,HIGH,123,137,0.215542994,410246,85,4408916,9398
Gaya,Bihar,C-1T,"4,63,454","3,85,432",917,23,30,MEDIUM,107,170,0.558294608,424987,59,923737,8429
Thiruvananthapuram,Kerala,C-1T,"4,60,468","3,68,618",959,30,29,HIGH,104,159,0.422028789,441589,86,977479,19818
Udaipur,Rajasthan,C-1T,"4,51,735","3,89,438",877,28,37,LOW,117,149,0.161467595,396172,89,1475311,2648
Kakinada,Andhra Pradesh,C-1T,"4,43,028","3,25,985",875,29,35,LOW,103,166,0.284010132,387650,63,237854,10140
Davanagere,Karnataka,C-1T,"4,35,128","3,64,523",934,25,30,MEDIUM,112,109,0.151582387,406410,70,636502,12486
Kozhikode,Kerala,C-1T,"4,32,097","4,36,556",964,29,40,LOW,135,141,0.347997166,416542,52,977479,7682
Maheshtala,West Bengal,C-1T,"4,29,423","3,85,266",951,25,28,MEDIUM,111,126,0.234101481,408381,51,1489500,9502
Rajpur Sonarpur,West Bengal,C-1T,"4,23,806","3,36,707",957,23,27,LOW,128,152,0.319906376,405582,99,1489500,8797
Rajahmundry,Andhra Pradesh,C-1T,"4,19,818","3,15,251",905,26,35,HIGH,145,127,0.603840399,379935,99,237854,9403
Bokaro,Jharkhand,C-1T,"4,13,934","3,93,805",891,23,26,HIGH,111,131,0.139153052,368815,91,167785,2774
South Dumdum,West Bengal,C-1T,"4,10,524","3,92,444",957,23,33,LOW,110,145,0.511487421,392871,89,1489500,8797
Bellary,Karnataka,C-1T,"4,09,644","3,16,766",944,26,32,LOW,137,182,0.980547014,386704,73,636502,9809
Patiala,Punjab,C-1T,"4,05,164","3,03,151",886,26,38,MEDIUM,142,129,0.556825583,358975,95,242367,7729
Gopalpur,West Bengal,C-1T,"4,04,991","2,71,811",950,26,29,MEDIUM,130,136,0.161710394,384741,83,1489500,9871
Agartala,Tripura,C-1T,"3,99,688","2,71,811",977,28,12,HIGH,122,122,0.121407191,390495,64,34886,10933
Bhagalpur,Bihar,C-1T,"3,98,138","3,40,767",916,28,38,HIGH,143,182,0.586616981,364694,81,923737,10250
Muzaffarnagar,Uttar Pradesh,C-1T,"3,92,451","3,16,729",877,28,26,LOW,135,122,0.807069876,344180,66,3104060,3103
Bhatpara,West Bengal,C-1T,"3,90,467","4,42,385",959,29,33,LOW,123,186,0.727131021,374458,76,1489500,11114
Panihati,West Bengal,C-1T,"3,83,522","3,48,438",947,27,30,LOW,103,139,0.275123563,363195,50,1489500,10218
Latur,Maharashtra,C-1T,"3,82,754","2,99,985",870,24,33,LOW,119,128,0.50896019,332996,85,4408916,11510
Dhule,Maharashtra,C-1T,"3,76,093","3,41,755",889,24,39,HIGH,112,176,0.339471562,334347,54,4408916,10233
Tirupati,Andhra Pradesh,C-1T,"3,74,260","2,28,202",890,25,27,HIGH,106,141,0.261376403,333091,58,237854,8891
Rohtak,Haryana,C-1T,"3,73,133","2,86,807",846,25,28,MEDIUM,108,180,0.365817445,315671,91,303118,3798
Sagar,Madhya Pradesh,C-1T,"3,70,296","2,32,133",912,25,28,LOW,136,134,0.938754222,337710,69,421365,1410
Korba,Chhattisgarh,C-1T,"3,63,210","3,15,690",973,29,25,LOW,129,198,0.416205697,353403,79,6394,1285
Bhilwara,Rajasthan,C-1T,"3,60,009","2,80,128",866,26,40,MEDIUM,145,172,0.914421764,311768,64,1475311,2458
Berhampur,Odisha,C-1T,"3,55,823","3,07,792",945,27,28,HIGH,134,130,0.2137728,336253,57,66971,10197
Muzaffarpur,Bihar,C-1T,"3,51,838","3,05,525",920,29,26,LOW,139,174,0.694019105,323691,61,923737,10662
Ahmednagar,Maharashtra,C-1T,"3,50,905","3,07,615",893,27,30,HIGH,150,166,0.214026619,313358,80,4408916,26912
Mathura,Uttar Pradesh,C-1T,"3,49,336","3,02,770",864,28,33,HIGH,118,164,0.131378892,301826,58,3104060,2976
Kollam,Kerala,C-1T,"3,49,033","3,61,560",971,28,29,MEDIUM,147,134,0.607749333,338911,57,977479,6147
Avadi,Tamil Nadu,C-1T,"3,44,701","2,29,403",923,23,39,LOW,146,160,0.995697622,318159,64,4684707,8484
Kadapa,Andhra Pradesh,C-1T,"3,43,054","1,25,725",929,27,28,HIGH,117,123,0.907662015,318697,99,237854,10024
Kamarhati,West Bengal,C-1T,"3,36,579","3,14,507",957,25,32,HIGH,148,131,0.091818697,322106,52,1489500,9561
Sambalpur,Odisha,C-1T,"3,35,761","2,96,662",947,27,40,LOW,102,194,0.458369828,317966,91,66971,3734
Bilaspur,Chhattisgarh,C-1T,"3,30,106","2,74,917",966,28,32,LOW,126,140,0.896520952,318882,57,6394,449
Shahjahanpur,Uttar Pradesh,C-1T,"3,27,975","2,96,662",885,23,40,LOW,142,169,0.810274192,290258,61,3104060,4303
Satara,Maharashtra,C-1T,"3,26,789","2,28,175",870,29,34,LOW,148,134,0.282643924,284306,63,4408916,21674
Bijapur,Karnataka,C-1T,"3,26,360","2,28,175",948,28,37,LOW,133,183,0.117496269,309389,96,636502,10608
Kurnool,Andhra Pradesh,C-1T,"3,25,300","2,69,122",914,27,38,LOW,140,140,0.887895795,297324,81,237854,9862
Rampur,Uttar Pradesh,C-1T,"3,25,248","2,81,494",879,27,34,MEDIUM,121,179,0.624177241,285893,75,3104060,4172
Shimoga,Karnataka,C-1T,"3,22,428","2,74,352",953,24,40,MEDIUM,103,192,0.964043467,307274,75,636502,9141
Chandrapur,Maharashtra,C-1T,"3,21,036","2,89,450",869,28,34,HIGH,145,155,0.482822256,278980,93,4408916,4697
Junagadh,Gujarat,C-1T,"3,20,250","1,68,686",853,26,26,LOW,121,150,0.094579414,273173,82,284973,2081
Thrissur,Kerala,C-1T,"3,15,596","3,17,526",966,31,37,HIGH,118,126,0.216642153,304866,62,977479,6235
Alwar,Rajasthan,C-1T,"3,15,310","2,60,593",877,27,33,MEDIUM,140,173,0.836760938,276527,59,1475311,8677
Bardhaman,West Bengal,C-1T,"3,14,638","2,85,602",961,26,40,LOW,124,199,0.906868166,302367,93,1489500,9985
Kulti,West Bengal,C-1T,"3,13,977","2,89,903",947,24,39,HIGH,134,130,0.758839812,297336,59,1489500,9083
Nizamabad,Telangana,C-1T,"3,10,467","2,88,722",936,23,37,HIGH,149,132,0.799557124,290597,67,126078,4424
Parbhani,Maharashtra,C-1T,"3,07,191","2,59,329",874,23,33,MEDIUM,143,128,0.091066222,268485,87,4408916,3811
Tumkur,Karnataka,C-1T,"3,05,821","2,48,929",952,27,36,LOW,113,144,0.298385056,,,636502,10272
Khammam,Telangana,C-1T,"3,05,000","2,18,689",922,24,28,HIGH,134,172,0.453650009,,,126078,4316
Hisar,Haryana,M.Corp,"3,01,249",,824,25,31,HIGH,109,151,0.361736066,,,303118,3315
Ozhukarai,Puducherry,C-1T,"3,00,028","2,17,707",1031,28,26,LOW,117,121,0.112258889,,,106153,11537
Bihar Sharif,Bihar,C-1T,"2,96,889","2,32,071",927,26,25,LOW,108,125,0.51739398,,,923737,9632
Panipat,Haryana,C-1T,"2,94,150","2,61,740",829,27,29,LOW,119,146,0.732577745,243850,64,303118,5255
Darbhanga,Bihar,C-1T,"2,94,116","2,67,348",914,25,29,LOW,150,115,0.544779975,268822,54,923737,9131
Bally,West Bengal,C-1T,"2,91,972","2,60,906",961,23,34,LOW,113,135,0.213392295,280585,64,1489500,8833
Aizawl,Mizoram,C-1T,"2,91,822","2,28,280",975,28,12,LOW,103,106,0.725949568,284526,73,798,887
Dewas,Madhya Pradesh,C-1T,"2,89,438","2,31,672",916,27,37,LOW,107,152,0.009473837,265125,79,421365,877
Ichalkaranji,Maharashtra,C-1T,"2,87,570","2,57,610",888,24,26,MEDIUM,137,166,0.938262064,255362,88,4408916,8517
Karnal,Haryana,C-1T,"2,86,974","2,10,476",820,25,34,HIGH,150,173,0.338757447,235319,83,,4738
Bathinda,Punjab,C-1T,"2,85,813","2,17,256",875,26,31,LOW,138,152,0.736867736,250086,60,,3630
Jalna,Maharashtra,C-1T,"2,85,349","2,35,795",871,29,32,MEDIUM,149,107,0.33216204,248539,86,,5595
Eluru,Andhra Pradesh,C-1T,"2,83,648","1,90,347",911,26,37,LOW,129,195,0.365806506,258403,62,,9465
Barasat,West Bengal,C-1T,"2,83,443","2,31,515",945,24,40,MEDIUM,141,172,0.352218991,267854,73,,9064
Kirari Suleman Nagar,Delhi,C-1T,"2,82,598","1,53,874",866,27,40,MEDIUM,105,103,0.867002953,244730,57,,9343
Purnia,Bihar,C-1T,"2,80,547","1,71,687",929,24,34,MEDIUM,123,170,0.863391787,260628,51,,8910
Satna,Madhya Pradesh,C-1T,"2,80,248","2,25,464",921,25,40,HIGH,116,185,0.840118675,258108,99,,759
Mau,Uttar Pradesh,C-1T,"2,79,060","2,12,657",890,29,35,LOW,139,117,0.483641367,248363,60,,1958
Sonipat,Haryana,C-1T,"2,77,053","2,14,974",827,29,38,MEDIUM,116,131,0.067259176,229123,86,,5498
Farrukhabad,Uttar Pradesh,C-1T,"2,75,750","2,28,333",890,24,28,LOW,117,114,0.342686439,245418,77,,1652
Durg,Chhattisgarh,C-1T,"2,68,679","2,32,517",950,27,39,HIGH,115,135,0.129244853,255245,92,,10251
Imphal,Manipur,C-1T,"2,64,986","2,21,492",981,27,9,HIGH,150,101,0.292217408,259951,80,,10585
Ratlam,Madhya Pradesh,C-1T,"2,64,810","2,22,202",914,25,32,MEDIUM,137,125,0.514864536,242036,73,,1387
Hapur,Uttar Pradesh,C-1T,"2,62,801","2,11,983",867,23,33,HIGH,150,105,0.950670483,227848,66,,2040
Arrah,Bihar,C-1T,"2,61,099","2,03,380",923,25,31,HIGH,118,184,0.938506214,240994,84,,9221
Anantapur,Andhra Pradesh,C-1T,"2,61,004","2,18,808",882,24,39,LOW,140,105,0.327263915,230206,85,,8459
Karimnagar,Telangana,C-1T,"2,60,899","2,05,653",929,27,27,MEDIUM,135,148,0.230800299,242375,95,,6245
Etawah,Uttar Pradesh,C-1T,"2,56,838","2,10,453",885,27,27,LOW,104,183,0.110137057,227302,97,,2887
Ambarnath,Maharashtra,C-1T,"2,54,003","2,03,795",871,25,37,MEDIUM,101,164,0.250935385,221237,99,,8701
North Dumdum,West Bengal,C-1T,"2,53,625","2,20,042",951,27,33,HIGH,139,151,0.202178576,241197,52,,10261
Bharatpur,Rajasthan,C-1T,"2,52,109","2,04,587",865,24,40,LOW,122,138,0.554875623,218074,57,,3877
Begusarai,Bihar,C-1T,"2,51,136","93,378",928,24,31,MEDIUM,101,112,0.301761472,233054,97,,8901
New Delhi,Delhi,C-1T,"2,49,998","3,02,147",876,23,40,HIGH,100,113,0.739131752,218998,68,,8051
Gandhidham,Gujarat,C-1T,"2,48,705","1,66,388",870,29,30,HIGH,119,107,0.264745632,216373,94,,10082
Baranagar,West Bengal,C-1T,"2,48,466","2,50,768",958,25,33,MEDIUM,107,193,0.076656015,238030,78,,9571
Tiruvottiyur,Tamil Nadu,C-1T,"2,48,059","2,12,281",905,29,28,MEDIUM,141,187,0.052000098,224493,100,,10488
Pondicherry,Puducherry,C-1T,"2,41,773","2,20,749",1042,24,25,HIGH,118,187,0.637098865,251927,50,,9995
Sikar,Rajasthan,C-1T,"2,37,579","1,84,904",858,25,37,MEDIUM,149,116,0.601350819,203843,63,,2962
Thoothukudi,Tamil Nadu,C-1T,"2,37,374","2,16,058",915,24,25,MEDIUM,116,184,0.962044678,217197,68,,8776
Rewa,Madhya Pradesh,C-1T,"2,35,422","1,83,274",929,23,33,LOW,144,123,0.421181202,218707,72,,1021
Mirzapur,Uttar Pradesh,C-1T,"2,33,691","2,05,053",861,28,33,MEDIUM,130,118,0.510063094,201208,67,,1945
Raichur,Karnataka,C-1T,"2,32,456","2,07,421",938,24,34,LOW,107,177,0.856074149,218044,80,,9096
Pali,Rajasthan,C-1T,"2,29,956","1,87,641",863,24,34,LOW,116,132,0.366713555,198452,99,,4459
Ramagundam,Telangana,C-1T,"2,29,644","2,36,600",918,26,31,MEDIUM,142,190,0.105798349,210813,77,,9538
Silchar,Assam,C-1T,"2,29,136","1,84,105",901,26,8,MEDIUM,106,193,0.714026806,206452,54,,9361
Haridwar,Uttarakhand,C-1T,"2,28,832","1,75,010",842,27,5,HIGH,126,178,0.64380947,192677,93,,5989
Vijayanagaram,Andhra Pradesh,C-1T,"2,28,025","1,74,324",894,28,32,HIGH,124,155,0.456808987,203854,89,,10003
Tenali,Andhra Pradesh,C-1T,"2,25,982","1,84,937",896,29,38,LOW,123,167,0.112821757,202480,94,,10383
Nagercoil,Tamil Nadu,C-1T,"2,24,849","2,08,179",911,28,27,LOW,129,188,0.632885329,204837,83,,10193
Sri Ganganagar,Rajasthan,C-1T,"2,24,773","2,10,713",850,23,30,HIGH,149,135,0.436803717,191057,83,,7812
Karawal Nagar,Delhi,C-1T,"2,24,666","1,48,549",850,23,38,MEDIUM,148,112,0.138285393,190966,77,,7812
Mango,Jharkhand,C-1T,"2,23,805","1,66,125",905,28,35,MEDIUM,149,180,0.122320015,202544,78,,10126
Thanjavur,Tamil Nadu,C-1T,"2,22,943","2,15,314",907,25,30,HIGH,144,177,0.365735379,202209,66,,7906
Bulandshahr,Uttar Pradesh,C-1T,"2,22,519","1,76,425",864,25,39,LOW,110,100,0.091452069,192256,95,,2797
Uluberia,West Bengal,C-1T,"2,22,240","2,02,135",947,26,39,HIGH,120,173,0.855020561,210461,62,,9840
Katni,Madhya Pradesh,C-1T,"2,21,883","1,87,029",914,25,31,MEDIUM,107,173,0.999111407,202801,83,,571
Sambhal,Uttar Pradesh,C-1T,"2,20,813","1,82,478",891,23,30,LOW,113,123,0.463428529,196744,79,,1845
Singrauli,Madhya Pradesh,C-1T,"2,20,257","1,85,190",922,27,33,HIGH,100,197,0.175012139,203077,50,,438
Nadiad,Gujarat,C-1T,"2,18,095","1,92,913",866,26,37,HIGH,124,113,0.646468197,188870,98,,8997
Secunderabad,Telangana,C-1T,"2,17,910","2,06,102",934,26,27,LOW,115,197,0.437541636,203528,74,,9705
Naihati,West Bengal,C-1T,"2,17,900","2,15,303",955,26,38,HIGH,110,111,0.754768842,208095,72,,9923
Yamunanagar,Haryana,C-1T,"2,16,677","1,89,696",843,24,27,MEDIUM,115,186,0.298301185,182659,99,,2601
Bidhannagar,West Bengal,C-1T,"2,15,514","1,64,221",951,26,28,MEDIUM,119,150,0.662731398,204954,56,,9881
Pallavaram,Tamil Nadu,C-1T,"2,15,417","1,44,623",917,24,38,LOW,113,180,0.631001973,197537,74,,8795
Bidar,Karnataka,C-1T,"2,14,373","1,72,877",922,25,31,MEDIUM,102,137,0.917053409,197652,82,,5261
Munger,Bihar,C-1T,"2,13,303","1,88,050",918,25,39,LOW,114,129,0.330908387,195812,72,,9171
